Equity Holding,Shares,Market Value,Country
Enbridge Income Fund Holdings Inc,450000,17000000,Canada
Encana Corp,2879000,41000000,Canada
Endeavour Silver Corp,1700000,4000000,Canada
Enerflex Ltd,398000,6000000,Canada
Enghouse Systems Ltd,59000,3000000,Canada
Ensign Energy Services Inc,419000,4000000,Canada
Equitable Group Inc,116000,7000000,Canada
Evertz Technologies Ltd,194000,3000000,Canada
Exchange Income Corp,141000,3000000,Canada
Exco Technologies Ltd,186000,3000000,Canada
Extendicare Inc,916000,7000000,Canada
Fairfax Financial Holdings Ltd,249000,177000000,Canada
Fiera Capital Corp,122000,2000000,Canada
Finning International Inc,2057000,48000000,Canada
Firm Capital Mortgage Investment Corp,206000,3000000,Canada
First Capital Realty Inc,347000,7000000,Canada
First Majestic Silver Corp,1111000,8000000,Canada
First National Financial Corp,144000,3000000,Canada
First Quantum Minerals Ltd,5132000,79000000,Canada
FirstService Corp/Canada,393000,32000000,Canada
Fortis Inc/Canada,1803000,70000000,Canada
Fortuna Silver Mines Inc,1561000,7000000,Canada
Franco-Nevada Corp,1466000,90000000,Canada
Freehold Royalties Ltd,212000,4000000,Canada
GLENTEL Inc,126000,3000000,Canada
Genworth MI Canada Inc,454000,13000000,Canada
George Weston Ltd,503000,50000000,Canada
Gibson Energy Inc,806000,21000000,Canada
Gildan Activewear Inc,1955000,73000000,Canada
Gluskin Sheff + Associates Inc,258000,7000000,Canada
Gold Reserve Inc,429000,2000000,Canada
Goldcorp Inc,7423000,170000000,Canada
Gran Tierra Energy Inc,7465000,26000000,Canada
Granite Real Estate Investment Trust,231000,10000000,Canada
Great-West Lifeco Inc,2386000,87000000,Canada
Guyana Goldfields Inc,1376000,4000000,Canada
H&R Real Estate Investment Trust,932000,22000000,Canada
HNZ Group Inc,73000,1000000,Canada
Heroux-Devtek Inc,238000,2000000,Canada
High Liner Foods Inc,191000,5000000,Canada
Home Capital Group Inc,718000,31000000,Canada
HudBay Minerals Inc,1708000,18000000,Canada
Hudson's Bay Co,345000,9000000,Canada
Husky Energy Inc,768000,20000000,Canada
IAMGOLD Corp,2516000,6000000,Canada
IGM Financial Inc,421000,19000000,Canada
IMAX Corp,175000,7000000,Canada
Imperial Metals Corp,406000,5000000,Canada
Imperial Oil Ltd,665000,34000000,Canada
Industrial Alliance Insurance & Financial Services Inc,980000,42000000,Canada
InnVest Real Estate Investment Trust,458000,3000000,Canada
Innergex Renewable Energy Inc,596000,7000000,Canada
Intact Financial Corp,1383000,132000000,Canada
Inter Pipeline Ltd,1781000,58000000,Canada
InterOil Corp,226000,13000000,Canada
Interfor Corp,732000,14000000,Canada
Intertape Polymer Group Inc,432000,8000000,Canada
Ithaca Energy Inc,1654000,1000000,Canada
Ivanhoe Mines Ltd,4865000,4000000,Canada
Jean Coutu Group PJC Inc/The,752000,20000000,Canada
Just Energy Group Inc,2108000,12000000,Canada
K-Bro Linen Inc,63000,3000000,Canada
KP Tissue Inc,82000,1000000,Canada
Kelso Technologies Inc,334000,2000000,Canada
Keyera Corp,453000,38000000,Canada
Killam Properties Inc,167000,2000000,Canada
Kingsway Financial Services Inc,214000,2000000,Canada
Kinross Gold Corp,14038000,39000000,Canada
Kirkland Lake Gold Inc,658000,4000000,Canada
Knight Therapeutics Inc,669000,5000000,Canada
Labrador Iron Ore Royalty Corp,721000,10000000,Canada
Lake Shore Gold Corp,3587000,4000000,Canada
Laurentian Bank of Canada,478000,23000000,Canada
Leon's Furniture Ltd,115000,2000000,Canada
Lightstream Resources Ltd,1235000,1000000,Canada
Linamar Corp,567000,44000000,Canada
Liquor Stores N.A. Ltd,294000,4000000,Canada
Loblaw Cos Ltd,2684000,166000000,Canada
Lucara Diamond Corp,2330000,4000000,Canada
Lundin Mining Corp,4810000,25000000,Canada
MAG Silver Corp,557000,4000000,Canada
MCAN Mortgage Corp,160000,2000000,Canada
MEG Energy Corp,91000,2000000,Canada
MFC Industrial Ltd,408000,2000000,Canada
MTY Food Group Inc,123000,4000000,Canada
MacDonald Dettwiler & Associates Ltd,246000,24000000,Canada
Magellan Aerospace Corp,106000,1000000,Canada
Magna International Inc,3987000,270000000,Canada
Mainstreet Equity Corp,77000,3000000,Canada
Major Drilling Group International Inc,759000,5000000,Canada
Manulife Financial Corp,20641000,444000000,Canada
Martinrea International Inc,343000,4000000,Canada
Medical Facilities Corp,325000,6000000,Canada
Melcor Developments Ltd,103000,2000000,Canada
Methanex Corp,922000,63000000,Canada
Metro Inc,2597000,89000000,Canada
Milestone Apartments Real Estate Investment Trust,312000,4000000,Canada
Morguard Corp,13000,2000000,Canada
Morguard North American Residential Real Estate Investment Trust,216000,2000000,Canada
Morguard Real Estate Investment Trust,325000,6000000,Canada
Morneau Shepell Inc,291000,5000000,Canada
Mountain Province Diamonds Inc,863000,4000000,Canada
Mullen Group Ltd,447000,9000000,Canada
NOVAGOLD RESOURCES INC,1760000,7000000,Canada
National Bank of Canada,3479000,161000000,Canada
Neptune Technologies & Bioressources Inc,576000,1000000,Canada
Nevsun Resources Ltd,3535000,15000000,Canada
New Flyer Industries Inc,382000,5000000,Canada
New Gold Inc,5032000,21000000,Canada
Newalta Corp,297000,4000000,Canada
Norbord Inc,80000,2000000,Canada
North West Co Inc/The,504000,13000000,Canada
NorthWest Healthcare Properties Real Estate Investment Trust,231000,2000000,Canada
Northern Blizzard Resources Inc,161000,1000000,Canada
Northern Property Real Estate Investment Trust,163000,4000000,Canada
OceanaGold Corp,2870000,7000000,Canada
Onex Corp,1324000,97000000,Canada
Open Text Corp,1235000,83000000,Canada
Osisko Gold Royalties Ltd,725000,12000000,Canada
PHX Energy Services Corp,170000,1000000,Canada
Pacific Rubiales Energy Corp,1375000,4000000,Canada
Painted Pony Petroleum Ltd,558000,3000000,Canada
Pan American Silver Corp,2015000,22000000,Canada
Paramount Resources Ltd,50000,2000000,Canada
Parex Resources Inc,636000,5000000,Canada
Parkland Fuel Corp,400000,10000000,Canada
Pason Systems Inc,387000,8000000,Canada
Pembina Pipeline Corp,1823000,73000000,Canada
Pengrowth Energy Corp,677000,3000000,Canada
