Asset Class,Security Description,Exposure,Quantity
Equity,Digital Realty Trust REIT Ord Shs,1737691,27443
Equity,Dillards Ord Shs Class A,971355,10500
Equity,Discover Financial Services Ord Shs,1199522,22325
Equity,DISH Network Ord Shs Class A,1869079,31535
Equity,Dollar General Ord Shs,2477239,33256
Equity,Dollar Tree Ord Shs,3504833,45959
Equity,Dominos Pizza Ord Shs,1347451,12719
Equity,Dr Pepper Snapple Group Ord Shs,3598637,46900
Equity,DTE Energy Ord Shs,374844,4802
Equity,E TRADE Financial Ord Shs,1525635,58031
Equity,EAGLE MATERIALS,900130,11000
Equity,East West Bancorp Ord Shs,656541,16247
Equity,eBay Ord Shs,3972727,146541
Equity,Ecolab Ord Shs,414732,3800
Equity,Edgewell Personal Care Ord Shs,418549,4753
Equity,Edwards Lifesciences Ord Shs,3350690,23784
Equity,Electronic Arts Ord Shs,4834044,73077
Equity,Eli Lilly Ord Shs,10795673,131095
Equity,Equifax Ord Shs,964511,9852
Equity,Equinix REIT,1061275,3934
Equity,Equity Lifestyle Properties REIT,434872,7799
Equity,Equity Residential REIT,2256416,31669
Equity,Essex Property Trust REIT,3937419,18346
Equity,Estee Lauder Ord Shs Class A,1293231,16212
Equity,Expedia Ord Shs,2023479,17597
Equity,Express Scripts Holding Ord Shs,5673514,67865
Equity,Extra Space Storage REIT,2366056,32200
Equity,F5 Networks Ord Shs,789165,6500
Equity,Facebook Class A  Ord Shs,1317930,14737
Equity,Factset Research Systems Ord Shs,682056,4319
Equity,Federal Realty Investment Trust REIT,1712633,13268
Equity,Fedex Ord Shs,2801195,18599
Equity,Fidelity National Information Services Ord Shs,1994453,28880
Equity,FireEye Ord Shs,464278,12289
Equity,First Horizon National Ord Shs,503479,34651
Equity,First Republic Bank Ord Shs,512213,8493
Equity,Fiserv Ord Shs,3635060,42630
Equity,FleetCor Technologies Ord Shs,3275703,21961
Equity,FNF Group Ord Shs,1951576,53600
Equity,Foot Locker Ord Shs,1727276,24400
Equity,Fortinet Ord Shs,1817161,43122
Equity,Fortune Brands Home And Security Ord Shs,2550405,53300
Equity,Gartner Ord Shs,530162,6200
Equity,General Dynamics Ord Shs,5875781,41370
Equity,General Growth Properties REIT,1560236,61475
Equity,Genesee & Wyoming Ord Shs Class A,478660,7000
Equity,Gentex Ord Shs,403000,26000
Equity,Genuine Parts Ord Shs,1377585,16500
Equity,Gilead Sciences Ord Shs,12356442,117602
Equity,Global Payments Ord Shs,966977,8681
Equity,Golar LNG Ord Shs,525690,13500
Equity,Goldman Sachs Group Ord Shs,8521514,45183
Equity,Goodyear Tire & Rubber Ord Shs,305738,10270
Equity,GOOGLE,10907993,16838
Equity,GoPro Ord Shs Class A,352686,7570
Equity,Graham Holdings Company Ord Shs Class B,487570,737
Equity,H&R Block Ord Shs,864108,25400
